latitude_unlock,longitude_unlock,latitude_lock,longitude_lock,distance,station_unlock_count,station_lock_count,trip_speed,lock_unlock_time_gap_hours
64,63,63,63,76,61,62,76,0
65,64,64,64,77,62,63,77,0
20,20,65,65,78,20,64,78,0
20,20,19,19,20,20,19,79,0
66,65,57,56,79,63,56,80,1
67,66,66,66,80,64,65,81,0
68,67,7,7,81,65,7,82,1
69,68,67,67,82,10,41,83,0
49,49,68,68,83,48,66,84,0
70,69,69,69,84,66,64,85,0
71,70,23,23,85,67,23,86,0
72,71,70,70,86,68,67,87,0
73,72,71,71,87,69,68,88,1
74,73,72,72,88,70,69,89,0
55,54,46,46,89,36,45,90,0
75,74,73,1,90,71,70,91,1
76,75,72,72,91,72,69,92,0
77,76,15,15,92,73,15,93,0
23,23,10,10,93,23,10,94,0
78,77,74,73,94,74,71,95,0
79,78,48,48,95,75,47,96,0
80,79,7,7,96,76,7,97,1
81,80,75,74,97,20,72,98,0
82,44,76,75,98,77,73,99,1
48,48,76,75,99,47,73,100,0
83,81,57,56,100,78,56,101,0
84,72,77,76,101,79,74,102,0
85,82,8,8,102,62,8,103,0
86,83,77,76,103,80,74,104,0
51,51,78,77,104,50,75,105,0
87,84,79,78,105,12,76,106,0
43,43,80,79,106,42,77,107,0
5,5,81,80,70,5,78,108,0
88,85,74,73,107,81,71,109,0
89,86,82,81,108,9,22,110,1
65,64,83,82,109,62,79,111,0
61,60,84,83,110,58,80,112,0
90,87,38,38,111,82,37,113,0
21,21,85,84,112,21,32,114,0
91,88,86,85,113,83,81,115,1
92,89,87,86,114,84,82,116,0
93,90,88,87,115,46,83,117,0
18,18,14,14,116,18,14,118,0
87,84,11,11,117,12,11,119,0
94,91,89,88,118,85,84,120,0
18,18,81,80,24,18,78,24,3
95,92,90,89,119,86,85,121,0
79,78,60,60,120,75,59,122,0
80,79,91,90,121,76,86,123,0
96,93,92,91,122,87,87,124,0
91,88,93,92,123,83,2,125,0
52,52,88,87,124,51,83,126,0
34,34,94,93,125,33,88,127,0
97,94,3,3,126,65,3,128,0
26,26,48,48,127,26,47,129,0
98,95,95,94,128,88,87,130,0
99,53,96,95,129,89,89,131,1
92,89,13,13,130,84,13,132,0
100,96,97,96,131,90,90,133,1
101,97,51,51,132,91,50,134,0
102,98,94,93,133,92,88,135,1
103,99,98,97,24,93,91,24,3
104,100,0,0,134,94,0,136,0
29,29,99,98,135,29,92,137,1
105,101,100,78,136,95,93,138,0
77,76,70,70,137,73,67,139,0
82,44,59,58,138,77,18,140,0
106,102,101,99,139,96,94,141,0
13,13,102,100,140,13,95,142,0
86,83,88,87,141,80,83,143,0
83,81,41,41,142,78,40,144,0
107,103,93,92,143,97,2,145,0
108,104,103,101,144,98,41,146,0
7,7,104,102,145,7,96,147,0
11,11,58,57,146,11,57,148,0
90,87,105,103,147,82,97,149,0
109,105,106,104,148,99,33,150,0
110,106,77,76,149,57,74,151,0
111,107,0,0,150,100,0,152,1
112,82,23,23,151,101,23,153,0
43,43,107,105,152,42,98,154,0
113,108,80,79,153,91,77,155,0
34,34,94,93,125,33,88,156,0
58,57,108,106,154,55,30,157,0
114,109,100,78,155,102,93,158,0
115,110,15,15,156,103,15,159,4
13,13,25,25,157,13,25,160,0
66,65,102,100,158,63,95,161,1
115,110,109,107,159,103,99,162,0
116,111,20,20,160,104,20,163,0
117,112,110,108,161,105,100,164,0
118,113,111,109,162,30,101,165,0
119,114,112,110,163,106,102,166,0
120,115,113,111,164,107,103,167,0
121,116,114,112,165,108,17,168,0
28,28,115,113,24,28,104,24,0
22,22,116,114,166,22,21,169,0
122,117,112,110,167,109,102,170,0
96,93,89,88,24,87,84,24,0
123,118,80,79,24,110,77,24,1
124,119,66,66,168,111,65,171,5
99,53,25,25,169,89,25,172,0
86,83,84,83,170,80,80,173,0
56,55,21,21,171,53,21,174,0
125,120,117,115,172,112,105,175,1
126,121,118,116,173,113,28,176,0
127,122,117,115,174,114,105,177,1
128,123,45,45,175,115,44,178,0
111,107,119,117,176,100,106,179,1
75,74,120,118,177,71,107,180,0
129,124,121,119,178,13,63,181,0
130,125,122,31,179,116,108,182,0
131,126,123,120,180,117,92,183,0
132,127,124,71,181,118,109,184,0
116,111,53,52,182,104,52,185,1
77,76,94,93,24,73,88,24,1
133,128,9,9,183,66,9,186,0
110,106,125,121,184,57,91,187,0
134,129,126,122,185,119,70,188,1
135,130,3,3,24,120,3,24,2
136,131,127,123,186,121,70,189,0
88,85,62,62,187,81,61,190,1
18,18,20,20,188,18,20,191,1
8,8,128,124,189,8,110,192,0
5,5,12,12,190,5,12,193,1
132,127,129,125,191,118,1,194,1
16,16,57,56,192,16,56,195,0
43,43,11,11,193,42,11,196,0
27,27,130,126,194,27,50,197,0
27,27,70,70,195,27,67,198,1
120,115,131,127,196,107,111,199,1
69,68,89,88,197,10,84,200,1
125,120,11,11,24,112,11,24,0
76,75,132,128,198,72,112,201,0
55,54,87,86,199,36,82,202,0
137,132,80,79,200,122,77,203,1
131,126,133,129,201,117,113,204,0
138,133,84,83,202,123,80,205,1
139,134,23,23,203,124,23,206,0
100,96,131,127,204,90,111,207,1
21,21,108,106,205,21,30,208,0
48,48,130,126,206,47,50,209,0
123,118,134,130,207,110,114,210,0
140,135,135,131,208,125,115,211,0
104,100,87,86,209,94,82,212,0
105,101,71,71,210,95,68,213,0
136,131,9,9,211,121,9,214,1
120,115,23,23,212,107,23,215,1
123,118,46,46,213,110,45,216,0
141,136,129,125,214,126,1,217,0
142,137,136,99,215,127,116,218,0
0,0,137,132,216,0,117,219,0
143,138,138,133,217,116,118,220,1
136,131,139,134,218,121,119,221,0
91,88,140,119,219,83,64,222,0
144,139,3,3,220,128,3,223,0
133,128,31,31,221,66,30,224,1
145,140,31,31,222,97,30,225,0
113,108,22,22,223,91,22,226,0
132,127,65,65,224,118,64,227,0
146,141,141,135,225,129,120,228,0
84,72,85,84,226,79,32,229,0
136,131,142,136,227,121,121,230,0
120,115,143,137,228,107,122,231,0
147,142,144,138,229,130,77,232,0
1,1,11,11,230,1,11,233,0
40,40,145,139,231,39,123,234,0
4,4,111,109,232,4,101,235,0
141,136,11,11,233,126,11,236,0
118,113,146,140,234,30,124,237,0
62,61,88,141,24,59,101,24,0
48,48,1,1,235,47,1,238,1
82,44,147,142,236,77,125,239,0
67,66,73,1,237,64,70,240,6
148,143,30,30,238,36,29,241,1
149,144,86,85,30,74,81,242,0
150,145,18,18,239,73,18,243,0
151,146,71,71,240,89,68,244,0
84,72,130,126,241,79,50,245,0
111,107,122,31,242,100,108,246,0
125,120,88,87,243,112,83,247,1
96,93,20,20,244,87,20,248,7
152,147,148,143,245,127,126,249,0
11,11,145,139,246,11,123,250,1
153,148,149,144,247,97,127,251,0
94,91,150,145,248,85,128,252,0
154,149,28,28,249,131,27,253,0
155,150,151,146,250,5,129,254,0
8,8,35,35,251,8,34,255,0
156,151,95,94,252,76,87,256,0
61,60,53,52,253,58,52,257,1
157,152,19,19,254,53,19,258,0
158,153,152,147,255,132,130,259,0
24,24,153,148,256,24,131,260,1
85,82,154,149,257,62,129,261,0
159,154,86,85,258,78,81,262,0
117,112,11,11,259,105,11,263,0
160,155,23,23,260,133,23,264,0
156,151,155,150,261,76,132,265,0
15,15,132,128,262,15,112,266,0
18,18,81,80,24,18,78,24,1
21,21,59,58,263,21,18,267,0
161,156,2,2,264,134,2,268,0
162,157,98,97,265,111,91,269,0
84,72,156,151,266,79,133,270,1
141,136,157,152,267,126,100,271,0
6,6,0,59,268,6,58,272,0
35,35,61,61,269,34,60,273,1
64,63,38,38,270,61,37,274,0
2,2,158,153,271,2,134,275,0
44,44,159,154,272,43,21,276,1
137,132,123,120,273,122,92,277,0
139,134,75,74,274,124,72,278,0
106,102,125,121,275,96,91,279,1
44,44,160,155,276,43,135,280,0
121,116,161,156,277,108,136,281,0
74,73,49,49,278,70,48,282,0
40,40,93,92,279,39,2,283,0
163,158,19,19,280,12,19,284,0
164,159,162,157,281,135,22,285,0
108,104,76,75,282,98,73,286,0
120,115,58,57,283,107,57,287,0
21,21,163,62,284,21,137,288,1
139,134,149,144,285,124,127,289,0
3,3,71,71,286,3,68,290,0
165,160,164,158,287,136,138,291,0
166,161,71,71,288,137,68,292,0
167,162,49,49,289,54,48,293,0
109,105,165,159,290,99,82,294,0
12,12,2,2,291,12,2,295,0
168,163,122,31,292,138,108,296,1
3,3,166,160,293,3,139,297,8
7,7,37,37,294,7,36,298,0
71,70,155,150,295,67,132,299,0
139,134,18,18,296,124,18,300,0
151,146,51,51,297,89,50,301,1
134,129,5,5,298,119,5,302,0
136,131,15,15,299,121,15,303,0
89,86,26,26,24,9,26,24,0
88,85,7,7,300,81,7,304,0
169,164,52,8,301,139,51,305,0
156,151,110,108,302,76,100,306,1
170,165,138,133,303,140,118,307,0
94,91,155,150,304,85,132,308,1
171,166,50,50,305,141,49,309,0
125,120,25,25,259,112,25,310,0
3,3,62,62,306,3,61,311,0
128,123,59,58,307,115,18,312,0
172,167,112,110,308,22,102,313,1
173,168,31,31,309,95,30,314,0
116,111,4,4,310,104,4,315,0
114,109,164,158,311,102,138,316,1
13,13,68,68,24,13,66,24,2
11,11,6,6,312,11,6,317,0
29,29,132,128,313,29,112,318,0
147,142,8,8,314,130,8,319,0
163,158,10,10,315,12,10,320,1
173,168,167,161,316,95,140,321,1
43,43,150,145,317,42,128,322,0
169,164,168,162,318,139,141,323,1
38,38,169,163,319,37,142,324,0
73,72,80,79,320,69,77,325,0
43,43,88,141,321,42,101,326,0
49,49,163,62,322,48,137,327,0
174,169,170,164,323,56,143,328,0
103,99,144,138,324,93,77,329,0
23,23,142,136,325,23,121,330,0
175,152,126,122,326,115,70,331,0
116,111,39,39,327,104,38,332,1
139,134,16,16,24,124,16,24,0
11,11,98,97,328,11,91,333,0
40,40,98,97,329,39,91,334,1
176,170,131,127,330,142,111,335,0
125,120,5,5,331,112,5,336,0
3,3,30,30,332,3,29,337,0
142,137,171,165,24,127,144,24,0
152,147,172,166,333,127,145,338,0
84,72,137,132,334,79,117,339,1
49,49,66,66,335,48,65,340,0
177,171,64,64,336,143,63,341,0
55,54,118,116,337,36,28,342,0
178,172,24,24,338,49,24,343,0
106,102,0,0,339,96,0,344,0
40,40,132,128,340,39,112,345,0
75,74,173,167,341,71,146,346,1
76,75,174,168,342,72,137,347,0
45,45,175,169,343,44,145,348,9
134,129,25,25,344,119,25,349,1
108,104,93,92,345,98,2,350,0
90,87,86,85,346,82,81,351,0
179,12,49,49,347,74,48,352,0
104,100,176,170,348,94,147,353,1
58,57,17,17,349,55,17,354,0
124,119,138,133,350,111,118,355,0
5,5,33,33,351,5,32,356,1
61,60,37,37,352,58,36,357,1
163,158,160,155,353,12,135,358,1
180,173,17,17,354,144,17,359,1
108,104,59,58,355,98,18,360,1
181,174,93,92,356,145,2,361,1
182,175,64,64,357,146,63,362,0
141,136,20,20,358,126,20,363,1
44,44,136,99,359,43,116,364,0
8,8,39,39,360,8,38,365,0
125,120,177,171,361,112,28,366,0
0,0,25,25,161,0,25,367,0
78,77,161,156,362,74,136,368,0
123,118,4,4,363,110,4,369,0
75,74,47,47,364,71,46,370,0
8,8,178,172,365,8,2,371,0
49,49,108,106,366,48,30,372,0
41,41,68,68,367,40,66,373,0
73,72,179,173,368,69,148,374,1
49,49,5,5,369,48,5,375,0
21,21,180,174,370,21,84,376,1
116,111,136,99,371,104,116,377,0
183,176,181,175,372,147,149,378,0
16,16,0,59,373,16,58,379,0
152,147,182,176,374,127,150,380,0
184,177,40,40,375,46,39,381,1
21,21,44,44,376,21,43,382,1
152,147,1,1,377,127,1,383,1
83,81,29,29,378,78,28,384,0
80,79,123,120,379,76,92,385,1
52,52,17,17,380,51,17,386,0
164,159,183,177,381,135,151,387,0
142,137,22,22,382,127,22,388,0
180,173,184,178,383,144,152,389,0
123,118,185,179,384,110,147,390,0
75,74,186,180,385,71,153,391,0
167,162,187,181,386,54,154,392,1
165,160,188,182,387,136,155,393,0
185,178,91,90,388,148,86,394,0
159,154,142,136,24,78,121,24,10
102,98,72,72,389,92,69,395,0
179,12,132,128,390,74,112,396,0
173,168,189,183,391,95,156,397,1
16,16,72,72,392,16,69,398,0
18,18,81,80,24,18,78,24,0
49,49,134,130,393,48,114,399,0
6,6,52,8,394,6,51,400,0
77,76,54,53,395,73,53,401,0
186,179,190,184,396,149,157,402,0
103,99,183,177,397,93,151,403,1
187,180,191,185,398,56,158,404,1
141,136,192,186,399,126,110,405,1
188,181,33,33,400,13,32,406,0
13,13,117,115,401,13,105,407,0
5,5,37,37,402,5,36,408,0
175,152,47,47,403,115,46,409,0
19,19,107,105,404,19,98,410,0
133,128,182,176,405,66,150,411,0
61,60,84,83,110,58,80,412,0
154,149,145,139,406,131,123,413,1
189,182,41,41,407,14,40,414,0
54,7,56,55,408,32,55,415,0
59,58,65,65,409,56,64,416,0
176,170,193,187,410,142,159,417,0
94,91,0,0,411,85,0,418,1
190,183,186,180,24,37,153,24,1
123,118,15,15,412,110,15,419,1
8,8,194,188,413,8,160,420,0
191,184,99,98,414,95,92,421,1
27,27,123,120,415,27,92,422,0
119,114,195,189,416,106,128,423,1
69,68,120,118,417,10,107,424,0
192,185,196,190,418,22,97,425,0
118,113,197,191,419,30,2,426,0
164,159,97,96,420,135,90,427,0
15,15,129,125,421,15,1,428,1
114,109,196,190,422,102,97,429,0
22,22,177,171,423,22,28,430,0
76,75,20,20,424,72,20,431,1
125,120,8,8,425,112,8,432,0
176,170,190,184,426,142,157,433,0
164,159,132,128,427,135,112,434,0
25,25,69,69,428,25,64,435,0
8,8,78,77,429,8,75,436,0
93,90,103,101,430,46,41,437,0
157,152,91,90,431,53,86,438,0
157,152,159,154,432,53,21,439,0
193,186,179,173,433,150,148,440,0
135,130,97,96,434,120,90,441,0
27,27,11,11,435,27,11,442,1
149,144,86,85,30,74,81,443,0
100,96,131,127,204,90,111,444,0
194,187,107,105,436,151,98,445,0
58,57,97,96,437,55,90,446,11
133,128,3,3,438,66,3,447,0
183,176,57,56,439,147,56,448,0
195,188,158,153,440,152,134,449,0
158,153,46,46,441,132,45,450,0
30,30,164,158,442,30,138,451,0
196,189,129,125,443,153,1,452,0
24,24,77,76,444,24,74,453,12
83,81,38,38,445,78,37,454,0
16,16,198,192,446,16,129,455,0
125,120,42,42,447,112,41,456,1
114,109,142,136,448,102,121,457,0
197,190,113,111,449,154,103,458,1
40,40,199,193,450,39,116,459,0
107,103,103,101,451,97,41,460,1
20,20,164,158,452,20,138,461,0
11,11,162,157,453,11,22,462,0
148,143,200,194,454,36,161,463,0
133,128,201,195,455,66,162,464,0
195,188,86,85,456,152,81,465,0
180,173,14,14,457,144,14,466,0
198,191,189,183,458,155,156,467,0
109,105,202,196,459,99,26,468,1
94,91,127,123,460,85,70,469,0
51,51,203,197,461,50,163,470,1
16,16,31,31,462,16,30,471,1
126,121,2,2,463,113,2,472,0
26,26,149,144,464,26,127,473,0
137,132,162,157,465,122,22,474,0
62,61,204,198,466,59,87,475,0
199,192,146,140,467,106,124,476,0
19,19,169,163,468,19,142,477,0
109,105,38,38,469,99,37,478,1
200,193,182,176,470,156,150,479,0
201,194,193,187,471,157,159,480,0
25,25,159,154,472,25,21,481,0
191,184,47,47,473,95,46,482,0
71,70,12,12,474,67,12,483,1
84,72,176,170,475,79,147,484,1
5,195,151,146,476,158,129,485,0
77,76,172,166,125,73,145,486,0
28,28,134,130,477,28,114,487,0
44,44,127,123,478,43,70,488,0
202,196,40,40,479,107,39,489,0
38,38,205,199,480,37,164,490,1
169,164,146,140,481,139,124,491,1
17,17,193,187,482,17,159,492,4
175,152,206,200,309,115,86,493,0
203,197,77,76,483,159,74,494,0
126,121,142,136,484,113,121,495,1
147,142,77,76,485,130,74,496,0
178,172,110,108,216,49,100,497,1
148,143,94,93,486,36,88,498,1
19,19,207,201,487,19,165,499,0
148,143,0,0,476,36,0,500,0
21,21,117,115,488,21,105,501,1
3,3,61,61,489,3,60,502,0
27,27,193,187,490,27,159,503,1
72,71,103,101,24,68,41,24,1
61,60,74,73,491,58,71,504,0
81,80,208,202,492,20,166,505,0
204,198,49,49,493,17,48,506,0
11,11,51,51,494,11,50,507,0
105,101,140,119,495,95,64,508,0
14,14,41,41,496,14,40,509,1
17,17,166,160,497,17,139,510,0
106,102,61,61,498,96,60,511,0
61,60,25,25,499,58,25,512,0
1,1,140,119,500,1,64,513,0
104,100,162,157,501,94,22,514,0
205,199,36,36,502,160,35,515,0
206,200,57,56,293,161,56,516,0
163,158,147,142,503,12,125,517,0
123,118,209,203,504,110,38,518,0
207,201,23,23,505,143,23,519,0
154,149,36,36,506,131,35,520,0
149,144,40,40,507,74,39,521,0
208,202,100,78,508,162,93,522,0
209,203,16,16,509,75,16,523,0
183,176,38,38,510,147,37,524,0
84,72,174,168,511,79,137,525,0
37,37,21,21,512,36,21,526,0
210,204,32,32,24,163,31,24,10
88,85,72,72,513,81,69,527,0
178,172,82,81,514,49,22,528,0
111,107,210,204,515,100,167,529,0
203,197,81,80,116,159,78,530,0
117,112,71,71,516,105,68,531,0
84,72,211,205,517,79,162,532,0
83,81,7,7,518,78,7,533,0
38,38,71,71,519,37,68,534,0
180,173,20,20,520,144,20,535,0
164,159,69,69,521,135,64,536,0
95,92,0,59,522,86,58,537,1
211,205,76,75,523,164,73,538,0
195,188,46,46,524,152,45,539,0
95,92,118,116,525,86,28,540,0
28,28,115,113,24,28,104,24,1
141,136,73,1,526,126,70,541,0
212,206,120,118,527,165,107,542,1
65,64,130,126,528,62,50,543,0
213,207,209,203,529,166,38,544,0
48,48,137,132,530,47,117,545,0
181,174,77,76,531,145,74,546,0
35,35,49,49,532,34,48,547,0
30,30,205,199,533,30,164,548,1
15,15,80,79,534,15,77,549,0
93,90,37,37,535,46,36,550,0
1,1,110,108,536,1,100,551,0
161,156,208,202,537,134,166,552,1
203,197,105,103,538,159,97,553,0
146,141,148,143,539,129,126,554,0
3,3,169,163,192,3,142,555,0
47,47,29,29,540,46,28,556,1
166,161,151,146,541,137,129,557,0
77,76,107,105,542,73,98,558,0
188,181,207,201,68,13,165,68,0
201,194,178,172,543,157,2,559,0
123,118,142,136,544,110,121,560,0
19,19,207,201,487,19,165,561,0
16,16,212,206,545,16,168,562,4
214,208,178,172,546,167,2,563,0
133,128,213,207,547,66,165,564,0
81,80,193,187,548,20,159,565,0
174,169,159,154,549,56,21,566,0
215,209,166,160,550,168,139,567,0
216,210,63,63,551,139,62,568,1
105,101,212,206,552,95,168,569,0
142,137,214,208,553,127,169,570,0
144,139,134,130,341,128,114,571,0
125,120,51,51,554,112,50,572,1
180,173,7,7,555,144,7,573,1
184,177,30,30,556,46,29,574,0
100,96,23,23,557,90,23,575,0
164,159,144,138,558,135,77,576,1
123,118,181,175,559,110,149,577,0
177,171,36,36,560,143,35,578,0
159,154,153,148,561,78,131,579,1
180,173,215,209,562,144,170,580,0
65,64,48,48,563,62,47,581,0
128,123,20,20,564,115,20,582,0
123,118,178,172,565,110,2,583,0
163,158,105,103,566,12,97,584,1
217,211,138,133,145,81,118,585,0
148,143,123,120,567,36,92,586,0
23,23,79,78,568,23,76,587,0
107,103,8,8,569,97,8,588,0
103,99,112,110,570,93,102,589,0
218,210,124,71,359,20,109,590,0
74,73,74,73,24,70,71,24,10
219,212,19,19,571,169,19,591,0
100,96,71,71,572,90,68,592,1
132,127,76,75,573,118,73,593,0
5,5,164,158,574,5,138,594,0
160,155,111,109,575,133,101,595,0
179,12,19,19,576,74,19,596,0
32,32,216,210,577,32,26,597,1
84,72,176,170,475,79,147,598,1
96,93,192,186,578,87,110,599,2
133,128,95,94,579,66,87,600,0
97,94,97,96,580,65,90,601,0
220,213,217,211,581,116,162,602,1
15,15,218,212,582,15,132,603,1
49,49,85,84,583,48,32,604,0
20,20,142,136,584,20,121,605,0
98,95,88,141,585,88,101,606,1
77,76,75,74,586,73,72,607,0
99,53,132,128,587,89,112,608,0
127,122,209,203,588,114,38,609,0
86,83,31,31,589,80,30,610,1
187,180,157,152,590,56,100,611,0
18,18,219,213,591,18,171,612,0
40,40,47,47,592,39,46,613,0
189,182,169,163,593,14,142,614,1
201,194,5,5,594,157,5,615,0
24,24,122,31,595,24,108,616,1
66,65,183,177,596,63,151,617,1
118,113,152,147,597,30,130,618,0
128,123,220,214,598,115,66,619,1
221,214,20,20,599,167,20,620,0
164,159,61,61,600,135,60,621,0
112,82,221,215,601,101,172,622,0
178,172,5,5,602,49,5,623,0
128,123,94,93,603,115,88,624,1
1,1,57,56,604,1,56,625,0
89,86,164,158,605,9,138,626,1
15,15,193,187,606,15,159,627,0
62,215,222,216,607,113,173,628,0
113,108,94,93,608,91,88,629,0
222,216,13,13,609,170,13,630,0
173,168,9,9,610,95,9,631,0
106,102,162,157,611,96,22,632,0
141,136,178,172,612,126,2,633,1
211,205,172,166,613,164,145,634,0
134,129,69,69,614,119,64,635,0
176,170,106,104,615,142,33,636,0
52,52,121,119,616,51,63,637,1
116,111,117,115,24,104,105,24,0
117,112,23,23,617,105,23,638,0
126,121,38,38,618,113,37,639,0
82,44,92,91,619,77,87,640,0
74,73,193,187,620,70,159,641,1
12,12,23,23,621,12,23,642,0
26,26,223,217,622,26,174,643,0
127,122,74,73,623,114,71,644,1
45,45,122,31,624,44,108,645,1
92,89,34,34,625,84,33,646,5
223,217,222,216,626,171,173,647,1
5,195,162,157,627,158,22,648,0
160,155,4,4,628,133,4,649,0
123,118,17,17,629,110,17,650,0
52,52,30,30,630,51,29,651,1
32,32,224,218,631,32,175,652,0
107,103,163,62,632,97,137,653,1
31,31,117,115,633,31,105,654,0
14,14,15,15,634,14,15,655,13
123,118,17,17,629,110,17,656,0
176,170,122,31,635,142,108,657,0
219,212,5,5,636,169,5,658,0
6,6,134,130,637,6,114,659,0
148,143,158,153,638,36,134,660,0
187,180,8,8,639,56,8,661,1
170,165,49,49,640,140,48,662,0
209,203,215,209,641,75,170,663,0
12,12,52,8,642,12,51,664,0
123,118,193,187,643,110,159,665,1
104,100,8,8,644,94,8,666,0
124,119,116,114,645,111,21,667,0
94,91,118,116,646,85,28,668,0
86,83,132,128,647,80,112,669,0
190,183,218,212,648,37,132,670,1
148,143,124,71,649,36,109,671,0
135,130,139,134,650,120,119,672,0
19,19,50,50,651,19,49,673,0
33,33,50,50,652,10,49,674,0
151,146,8,8,653,89,8,675,1
5,5,52,8,654,5,51,676,0
170,165,90,89,655,140,85,677,0
203,197,73,1,656,159,70,678,0
78,77,186,180,657,74,153,679,0
23,23,117,115,658,23,105,680,0
102,98,12,12,659,92,12,681,0
69,68,28,28,660,10,27,682,0
98,95,177,171,661,88,28,683,0
170,165,210,204,662,140,167,684,0
53,53,110,108,663,52,100,685,1
224,218,225,219,664,172,4,686,0
137,132,82,81,24,122,22,24,1
52,52,36,36,24,51,35,24,14
43,43,179,173,665,42,148,687,0
213,207,30,30,666,166,29,688,0
6,6,198,192,667,6,129,689,1
85,82,80,79,668,62,77,690,0
21,21,209,203,669,21,38,691,0
67,66,183,177,670,64,151,692,0
84,72,114,112,671,79,17,693,0
5,5,209,203,672,5,38,694,0
155,150,207,201,673,5,165,695,0
139,134,131,127,674,124,111,696,0
164,159,86,85,675,135,81,697,1
225,219,163,62,676,55,137,698,0
157,152,126,122,677,53,70,699,0
172,167,138,133,678,22,118,700,1
102,98,197,191,679,92,2,701,0
45,45,66,66,680,44,65,702,0
107,103,160,155,681,97,135,703,0
53,53,183,177,682,52,151,704,0
149,144,64,64,683,74,63,705,0
47,47,91,90,77,46,86,706,0
19,19,29,29,261,19,28,707,0
90,87,39,39,684,82,38,708,1
151,146,5,5,685,89,5,709,1
87,84,84,83,686,12,80,710,0
128,123,59,58,307,115,18,711,0
173,168,94,93,687,95,88,712,1
134,129,175,169,688,119,145,713,0
222,216,129,125,689,170,1,714,0
56,55,195,189,690,53,128,715,0
226,220,186,180,691,173,153,716,0
60,59,136,99,692,57,116,717,0
81,80,218,212,693,20,132,718,0
45,45,51,51,694,44,50,719,1
83,81,83,82,695,78,79,720,0
40,40,48,48,696,39,47,721,0
9,9,13,13,697,9,13,722,0
207,201,226,220,24,143,176,24,3
34,34,227,133,698,33,123,723,0
128,123,130,126,699,115,50,724,0
162,157,144,138,700,111,77,725,0
78,77,73,1,701,74,70,726,0
87,84,169,163,446,12,142,727,0
102,98,228,221,702,92,177,728,1
170,165,127,123,703,140,70,729,0
147,142,229,222,704,130,90,730,0
102,98,227,133,705,92,123,731,0
197,190,230,223,706,154,87,732,0
166,161,75,74,707,137,72,733,0
130,125,49,49,708,116,48,734,0
60,59,21,21,709,57,21,735,0
124,119,151,146,710,111,129,736,0
164,159,228,221,33,135,177,737,0
207,201,41,41,711,143,40,738,0
37,37,125,121,712,36,91,739,0
195,188,29,29,713,152,28,740,0
185,178,198,192,714,148,129,741,0
208,202,27,27,715,162,16,742,1
175,152,173,167,716,115,146,743,1
